station,datetime,report
VABB,051200Z,30011KT 4000 HZ FEW020 SCT025 30/24 Q1004 NOSIG=
VABB,051230Z,30009KT 4000 HZ FEW020 30/24 Q1004 NOSIG=
VABB,051300Z,30008KT 4000 HZ FEW020 30/24 Q1004 NOSIG=
VABB,051330Z,30008KT 3500 HZ SCT020 30/24 Q1004 NOSIG=
VABB,051400Z,30008KT 3500 HZ FEW020 29/25 Q1005 NOSIG=
VABB,051430Z,35008KT 3500 HZ FEW020 30/25 Q1005 BECMG 3000 HZ=
VABB,051500Z,32005KT 3000 HZ FEW020 29/25 Q1006 NOSIG=
VABB,051530Z,30006KT 3000 HZ FEW020 29/25 Q1006 NOSIG=
VABB,051600Z,29006KT 3000 HZ FEW020 29/25 Q1006 NOSIG=
VABB,051630Z,30005KT 3000 HZ FEW020 29/25 Q1006 NOSIG=
VABB,051700Z,30005KT 3000 HZ FEW020 29/25 Q1006 NOSIG=
VABB,051730Z,31005KT 3000 HZ SCT020 29/26 Q1006 NOSIG=
VABB,051800Z,35005KT 3000 HZ SCT020 29/25 Q1006 NOSIG=
VABB,051830Z,29005KT 3000 HZ FEW020 SCT025 29/25 Q1006 NOSIG=
VABB,051900Z,29005KT 3000 HZ FEW020 SCT025 28/25 Q1006 NOSIG=
VABB,051930Z,31004KT 3000 HZ FEW020 SCT025 28/25 Q1006 NOSIG=
VABB,052000Z,27006KT 3000 HZ FEW020 SCT025 28/25 Q1006 NOSIG=
VABB,052030Z,29005KT 3000 HZ FEW020 SCT025 28/25 Q1005 NOSIG=
VABB,052100Z,29005KT 3000 HZ FEW020 SCT025 28/25 Q1005 NOSIG=
VABB,052130Z,31006KT 3000 HZ FEW020 SCT025 28/25 Q1005 NOSIG=
VABB,052200Z,28005KT 3000 HZ FEW020 SCT025 28/25 Q1005 NOSIG=
VABB,052230Z,30004KT 3000 HZ FEW020 SCT025 28/25 Q1005 NOSIG=
VABB,052300Z,29004KT 3000 HZ FEW020 SCT025 28/26 Q1005 NOSIG=
VABB,052330Z,29003KT 3000 HZ FEW020 SCT025 28/25 Q1005 NOSIG=
VABB,060000Z,00000KT 3000 HZ SCT020 SCT025 28/26 Q1005 NOSIG=
VABB,060030Z,33003KT 3000 HZ SCT020 FEW025TCU BKN100 27/26 Q1006 NOSIG=
VABB,060100Z,26003KT 2500 HZ SCT018 SCT025 BKN100 28/26 Q1006 NOSIG=
VABB,060130Z,30003KT 2500 HZ FEW018 SCT025 28/26 Q1006 NOSIG=
VABB,060200Z,29003KT 2500 HZ FEW018 SCT025 BKN100 28/26 Q1006 NOSIG=
VABB,060230Z,32005KT 2500 HZ FEW018 SCT025 BKN100 29/26 Q1007 NOSIG=
VABB,060300Z,31006KT 2500 HZ FEW018 SCT025 BKN100 29/26 Q1007 NOSIG=
VABB,060330Z,28011KT 2500 VCSH FEW012 SCT018 FEW025TCU BKN100 29/26 Q1007 TEMPO 1500 SHRA=
VABB,060400Z,03007KT 2500 -RA FEW012 SCT018 FEW025TCU BKN090 27/25 Q1008 TEMPO 1500 SHRA=
VABB,060430Z,27005KT 2500 VCSH FEW012 SCT018 FEW025TCU BKN090 29/24 Q1007 NOSIG=
VABB,060500Z,27006KT 2500 HZ SCT018 FEW025TCU BKN090 30/26 Q1007 NOSIG=
VABB,060530Z,30009KT 2500 HZ SCT018 FEW025TCU BKN090 31/25 Q1007 BECMG 3000 HZ=
VABB,060600Z,31006KT 3000 HZ FEW018 SCT025 BKN090 31/25 Q1007 NOSIG=
VABB,060630Z,33004KT 3000 HZ FEW018 SCT025 BKN100 31/26 Q1007 NOSIG=
VABB,060700Z,30009KT 3000 HZ FEW018 SCT025 BKN100 31/25 Q1006 NOSIG=
VABB,060730Z,27011KT 3000 HZ SCT020 SCT025 31/25 Q1006 NOSIG=
VABB,060800Z,26007G17KT 3000 HZ SCT020 SCT025 32/25 Q1006 NOSIG=
VABB,060830Z,27014KT 3000 HZ SCT020 SCT025 32/24 Q1005 NOSIG=
VABB,060900Z,27007G17KT 3000 HZ SCT020 SCT025 32/25 Q1005 NOSIG=
VABB,060930Z,28012KT 4000 HZ SCT020 SCT025 32/25 Q1005 NOSIG=
VABB,061000Z,27010KT 4000 HZ SCT020 SCT025 31/25 Q1004 NOSIG=
VABB,061030Z,29008G18KT 4000 HZ FEW020 SCT025 31/23 Q1004 NOSIG=
VABB,061100Z,27011KT 4000 HZ FEW020 SCT025 31/25 Q1004 NOSIG=
VABB,061130Z,27011KT 4000 HZ FEW020 SCT025 31/25 Q1004 NOSIG=
VABB,061200Z,29007KT 3500 HZ SCT020 SCT025 30/26 Q1004 NOSIG=
VABB,061230Z,31007KT 3500 HZ SCT020 SCT025 30/26 Q1004 NOSIG=
VABB,061300Z,30008KT 3500 HZ SCT020 SCT025 29/25 Q1004 BECMG 3000 HZ=
VABB,061330Z,30008KT 3000 HZ FEW020 SCT025 29/25 Q1005 NOSIG=
VABB,061400Z,28006KT 3000 HZ FEW020 SCT100 30/25 Q1005 NOSIG=
VABB,061430Z,27007KT 3000 HZ FEW020 SCT100 29/26 Q1006 NOSIG=
VABB,061500Z,26008KT 3000 HZ SCT020 SCT100 29/26 Q1006 NOSIG=
VABB,061530Z,29007KT 3000 HZ SCT020 SCT100 29/25 Q1006 NOSIG=
VABB,061630Z,25010KT 3000 HZ SCT020 SCT100 29/26 Q1006 NOSIG=
VABB,061700Z,25009KT 3000 HZ SCT020 SCT100 29/26 Q1007 NOSIG=
VABB,061730Z,25008KT 3000 HZ SCT020 SCT100 29/26 Q1007 NOSIG=
VABB,061800Z,25010KT 3000 HZ SCT020 SCT100 29/26 Q1006 NOSIG=
VABB,061830Z,28008KT 3000 HZ SCT020 SCT100 29/25 Q1006 NOSIG=
VABB,061900Z,27010KT 3000 HZ SCT020 SCT025 29/25 Q1005 NOSIG=
VABB,061930Z,26010KT 3000 HZ SCT020 SCT025 29/26 Q1005 NOSIG=
VABB,062000Z,26012KT 3000 HZ SCT020 SCT025 29/26 Q1005 NOSIG=
VABB,062030Z,25010KT 3000 HZ SCT020 SCT025 29/26 Q1005 NOSIG=
VABB,062100Z,28010KT 3000 HZ SCT020 SCT025 29/26 Q1005 NOSIG=
VABB,062130Z,26013KT 3000 HZ SCT020 FEW025TCU 29/26 Q1005 NOSIG=
VABB,062200Z,25010KT 3000 HZ SCT020 FEW025TCU 29/26 Q1005 NOSIG=
VABB,062230Z,25010KT 3000 HZ SCT020 SCT025 29/26 Q1004 NOSIG=
VABB,062300Z,25007G17KT 3000 BR SCT020 FEW025TCU 29/26 Q1004 NOSIG=
VABB,062330Z,26012KT 3000 BR SCT020 FEW025TCU SCT100 28/25 Q1004 NOSIG=
VABB,070000Z,26009KT 3000 BR SCT020 FEW025TCU SCT100 28/26 Q1005 NOSIG=
VABB,070030Z,26009KT 3000 BR SCT020 FEW025TCU SCT100 28/26 Q1005 NOSIG=
VABB,070100Z,25010KT 3000 BR SCT018 FEW025TCU BKN090 28/26 Q1005 TEMPO 1500 SHRA=
VABB,070130Z,34005KT 2100 -RA SCT018 FEW025TCU BKN090 27/25 Q1006 TEMPO 1500 SHRA=
VABB,070200Z,26005KT 2100 -RA SCT018 FEW025TCU BKN090 27/26 Q1006 TEMPO 1500 SHRA=
VABB,070230Z,28010KT 1700 RA FEW012 SCT018 FEW030CB OVC080 28/27 Q1006 TEMPO 0800 +SHRA=
VABB,070300Z,01008KT 1700 RA FEW012 SCT018 FEW030CB OVC080 27/26 Q1006 TEMPO 0800 +RA=
VABB,070330Z,22006KT 0600 R27/1200 +RA SCT010 SCT018 FEW030CB OVC080 26/25 Q1007 NOSIG=
VABB,070400Z,09004KT 1200 R27/1500 +RA SCT010 SCT018 FEW030CB OVC080 26/25 Q1007 TEMPO 0600 +RA=
VABB,070430Z,00000KT 1500 -RA SCT010 SCT018 FEW030CB OVC080 25/25 Q1007 TEMPO 0600 +RA=
VABB,070500Z,25004KT 1500 -RA SCT010 SCT018 FEW030CB OVC080 25/25 Q1007 TEMPO 0800 +RA=
VABB,070530Z,25004KT 1500 -DZ FEW012 SCT018 FEW030CB OVC080 26/25 Q1007 TEMPO 0800 +RA=
VABB,070600Z,31005KT 1500 -RA FEW012 SCT018 FEW030CB OVC080 26/25 Q1007 TEMPO 0800 +RA=
VABB,070630Z,30005KT 2100 -DZ FEW012 SCT018 FEW030CB OVC080 26/25 Q1007 TEMPO 1500 RA=
VABB,070700Z,32003KT 2200 -DZ FEW012 SCT018 FEW030CB OVC080 26/25 Q1006 TEMPO 1500 RA=
VABB,070730Z,25004KT 2500 -DZ FEW012 SCT018 FEW030CB OVC080 26/25 Q1006 TEMPO 1500 RA=
VABB,070800Z,21004KT 2500 -DZ FEW012 SCT018 FEW030CB OVC080 26/25 Q1006 TEMPO 1500 RA=
VABB,070830Z,00000KT 2200 RA SCT012 SCT015 FEW030CB OVC080 26/25 Q1005 TEMPO 1500 SHRA=
VABB,070900Z,10006KT 1700 R27/1900 -TSRA SCT012 SCT015 FEW030CB OVC080 25/25 Q1005 TEMPO 0800 SHRA=
VABB,070930Z,14003KT 2100 -TSRA SCT012 SCT015 FEW030CB OVC080 25/25 Q1005 TEMPO 1500 SHRA=
VABB,071000Z,00000KT 1800 TSRA SCT012 SCT015 FEW030CB OVC080 25/25 Q1005 TEMPO 0800 +SHRA=
VABB,071030Z,25003KT 1200 R27/1300 +TSRA SCT012 SCT015 FEW030CB OVC080 25/25 Q1005 TEMPO 0800 +TSRA=
VABB,071100Z,00000KT 1200 R27/1300 +TSRA SCT012 SCT015 FEW030CB OVC080 25/25 Q1005 TEMPO 0800 +TSRA=
VABB,071130Z,01005KT 1200 R27/1300 +TSRA SCT012 SCT015 FEW030CB OVC080 24/24 Q1005 TEMPO 0800 +TSRA=
VABB,071200Z,11003KT 1000 R27/1200 +TSRA SCT012 SCT015 FEW030CB OVC080 24/24 Q1004 TEMPO 0600 +TSRA=
VABB,071230Z,12005KT 2500 -DZ FEW012 SCT015 FEW025TCU OVC080 25/25 Q1004 TEMPO 1500 RA=
VABB,071300Z,20005KT 2500 HZ FEW015 SCT018 FEW025TCU OVC080 25/25 Q1004 TEMPO 1500 SHRA=
VABB,071330Z,17006KT 2100 BR FEW015 SCT018 FEW025TCU OVC080 25/25 Q1005 TEMPO 1500 SHRA=
VABB,071400Z,17005KT 2100 BR SCT018 SCT025 BKN090 25/25 Q1005 NOSIG=
VABB,071430Z,00000KT 2500 BR SCT018 SCT025 BKN090 26/25 Q1005 NOSIG=
VABB,071500Z,16003KT 2500 BR SCT018 SCT025 BKN090 26/26 Q1006 NOSIG=
VABB,071530Z,20006KT 2500 -DZ SCT018 SCT025 BKN090 26/26 Q1005 NOSIG=
VABB,071600Z,19005KT 2500 BR SCT018 SCT025 BKN090 26/26 Q1006 NOSIG=
VABB,071630Z,22003KT 2500 BR SCT018 SCT025 BKN090 26/26 Q1006 NOSIG=
VABB,071700Z,18003KT 2500 BR SCT018 SCT025 BKN090 27/26 Q1006 NOSIG=
VABB,071730Z,20006KT 2500 BR SCT018 SCT025 BKN090 27/27 Q1006 NOSIG=
VABB,071800Z,24009KT 2500 BR SCT018 SCT025 BKN090 28/28 Q1006 NOSIG=
VABB,071830Z,25011KT 2500 BR SCT018 SCT025 BKN090 28/27 Q1005 TEMPO 1500 SHRA=
VABB,071900Z,24011KT 2500 BR SCT018 SCT025 BKN090 28/27 Q1005 TEMPO 1500 SHRA=
VABB,071930Z,26009KT 2500 BR SCT018 FEW025TCU BKN090 28/27 Q1005 TEMPO 1500 SHRA=
VABB,072000Z,27009KT 2500 BR SCT018 FEW025TCU BKN090 28/27 Q1005 TEMPO 1500 SHRA=
VABB,072030Z,30010KT 2100 RA FEW012 SCT018 FEW025TCU BKN090 27/26 Q1005 TEMPO 1500 SHRA=
VABB,072100Z,27011KT 2100 -RA FEW012 SCT018 FEW025TCU BKN090 28/27 Q1004 TEMPO 1500 SHRA=
VABB,072130Z,28013KT 2100 -RA FEW012 SCT015 FEW030CB BKN090 28/27 Q1004 TEMPO 1500 SHRA=
VABB,072200Z,28011KT 2200 -RA FEW012 SCT018 FEW030CB BKN090 28/27 Q1004 NOSIG=
VABB,072230Z,28015KT 1800 RA FEW012 SCT018 FEW030CB BKN090 27/26 Q1004 TEMPO 1500 SHRA=
VABB,072300Z,30009KT 2100 -RA FEW012 SCT018 FEW030CB BKN090 27/26 Q1004 TEMPO 1500 SHRA=
VABB,072330Z,28010KT 2500 HZ SCT018 FEW030CB BKN090 27/25 Q1004 TEMPO 1500 SHRA=
VABB,080000Z,27010KT 2500 HZ SCT018 FEW025TCU BKN090 28/26 Q1004 NOSIG=
VABB,080030Z,28009KT 2500 HZ SCT018 FEW025TCU BKN090 28/27 Q1004 NOSIG=
VABB,080100Z,29008KT 2200 HZ SCT018 FEW025TCU BKN090 28/27 Q1005 NOSIG=
VABB,080130Z,28009KT 2200 HZ SCT018 FEW025TCU BKN090 28/27 Q1005 TEMPO 1500 SHRA=
VABB,080200Z,28009KT 2200 HZ SCT018 FEW025TCU BKN090 28/27 Q1005 NOSIG=
VABB,080230Z,30006KT 2500 HZ SCT018 FEW025TCU BKN090 28/27 Q1006 NOSIG=
VABB,080300Z,28008KT 2500 HZ SCT018 FEW025TCU BKN090 28/27 Q1006 NOSIG=
VABB,080330Z,26007KT 2500 -DZ FEW012 SCT018 FEW025TCU BKN090 29/27 Q1006 NOSIG=
VABB,080400Z,26010KT 2500 -DZ FEW012 SCT018 FEW025TCU OVC080 29/27 Q1007 TEMPO 1500 SHRA=
VABB,080430Z,28011KT 2500 BR FEW012 SCT018 FEW025TCU OVC080 29/27 Q1007 NOSIG=
VABB,080500Z,26009G19KT 2500 -DZ FEW012 SCT018 FEW025TCU OVC080 29/28 Q1007 TEMPO 1500 SHRA=
VABB,080530Z,26012KT 2500 VCSH FEW012 SCT018 FEW030CB OVC080 29/27 Q1007 TEMPO 1500 SHRA=
VABB,080600Z,26011KT 1600 RA FEW012 SCT018 FEW030CB OVC080 28/27 Q1007 TEMPO 0800 +SHRA=
VABB,080630Z,28010KT 1200 R27/1500 RA FEW012 SCT018 FEW030CB OVC080 28/27 Q1006 TEMPO 0800 +SHRA=
VABB,080700Z,30015KT 1500 R27/1500 RA FEW012 SCT018 FEW030CB OVC080 27/26 Q1006 TEMPO 0800 +SHRA=
VABB,080730Z,27011KT 1000 R27/1400 +RA SCT012 SCT018 FEW030CB OVC080 26/25 Q1007 TEMPO 0600 +RA=
VABB,080800Z,30009KT 0600 R27/0800 +RA SCT010 SCT015 FEW030CB OVC080 27/26 Q1006 TEMPO 0350 +RA=
VABB,080830Z,28009KT 0350 R27/0500 +RA SCT008 SCT015 FEW030CB OVC080 26/26 Q1006 NOSIG=
VABB,080858Z,26004KT 1600 RA SCT008 SCT015 FEW030CB OVC080 26/26 Q1005 TEMPO 1500 +RA=
VABB,080930Z,32007KT 2200 DZ SCT008 SCT015 FEW030CB OVC080 26/26 Q1005 TEMPO 1500 SHRA=
VABB,081000Z,34006KT 0800 R27/0900 +RA SCT008 SCT015 FEW030CB OVC080 27/27 Q1005 TEMPO 0600 +SHRA=
VABB,081030Z,34008G18KT 1000 R27/1100 +RA SCT008 SCT015 FEW030CB OVC080 26/25 Q1005 TEMPO 0600 +SHRA=
VABB,081100Z,30008KT 1200 R27/1400 RA SCT010 SCT015 FEW030CB OVC080 25/25 Q1005 TEMPO 0800 +SHRA=
VABB,081130Z,33009KT 2200 DZ SCT010 SCT015 FEW030CB OVC080 27/27 Q1005 TEMPO 1500 SHRA=
VABB,081200Z,31009KT 2500 VCSH SCT010 SCT015 FEW030CB OVC080 26/26 Q1006 TEMPO 1500 SHRA=
VABB,081230Z,31007KT 2500 VCSH SCT010 SCT015 FEW030CB OVC080 26/25 Q1006 TEMPO 1500 SHRA=
VABB,081300Z,29010KT 2200 DZ SCT010 SCT015 FEW030CB OVC080 26/25 Q1006 TEMPO 1500 SHRA=
VABB,081330Z,35005KT 2100 -RA SCT010 SCT015 FEW030CB OVC080 26/25 Q1006 TEMPO 1500 SHRA=
VABB,081400Z,07003KT 2500 DZ FEW012 SCT018 FEW030CB OVC090 26/25 Q1006 TEMPO 1500 SHRA=
VABB,081430Z,16004KT 2500 -RA FEW012 SCT018 FEW030CB OVC090 26/25 Q1006 TEMPO 1500 SHRA=
VABB,081500Z,15004KT 2500 -RA FEW012 SCT018 FEW030CB OVC090 26/25 Q1006 TEMPO 1500 SHRA=
VABB,081530Z,15004KT 2500 DZ FEW012 SCT018 FEW025TCU OVC090 26/25 Q1006 TEMPO 1500 SHRA=
VABB,081600Z,18003KT 2500 -RA FEW012 SCT018 FEW025TCU OVC090 26/25 Q1006 TEMPO 1500 SHRA=
VABB,081630Z,15003KT 2500 -RA FEW012 SCT018 FEW025TCU OVC090 26/26 Q1007 TEMPO 1500 SHRA=
VABB,081700Z,20003KT 2500 DZ FEW012 SCT018 FEW025TCU OVC090 26/26 Q1007 TEMPO 1500 SHRA=
VABB,081730Z,20003KT 2500 BR FEW012 SCT018 FEW025TCU OVC090 27/26 Q1007 TEMPO 1500 SHRA=
VABB,081800Z,22004KT 2500 BR FEW012 SCT018 FEW025TCU OVC090 27/26 Q1007 NOSIG=
VABB,081830Z,27005KT 2500 DZ FEW012 SCT018 FEW025TCU OVC090 28/27 Q1006 TEMPO 1500 SHRA=
VABB,081900Z,27008KT 2500 BR FEW012 SCT018 FEW025TCU OVC090 28/27 Q1006 TEMPO 1500 SHRA=
VABB,081930Z,29005KT 2500 BR FEW012 SCT018 FEW025TCU BKN090 28/27 Q1006 NOSIG=
VABB,082000Z,30005KT 2500 DZ FEW012 SCT018 FEW025TCU BKN090 28/27 Q1005 TEMPO 1500 SHRA=
VABB,082030Z,29006KT 1800 -RA FEW012 SCT018 FEW030CB OVC090 28/27 Q1005 TEMPO 1500 SHRA=
VABB,082100Z,31006KT 2100 -RA FEW012 SCT018 FEW030CB OVC090 28/27 Q1005 TEMPO 1500 SHRA=
VABB,082130Z,32005KT 2100 BR FEW012 SCT018 FEW030CB OVC090 28/27 Q1005 TEMPO 1500 SHRA=
VABB,082200Z,28003KT 2500 BR FEW012 SCT018 FEW030CB OVC090 28/27 Q1004 TEMPO 1500 SHRA=
VABB,082230Z,29006KT 2500 -RA FEW012 SCT018 FEW030CB OVC090 28/27 Q1004 TEMPO 1500 SHRA=
VABB,082300Z,27007KT 2500 -DZ FEW012 SCT018 FEW025TCU OVC090 28/27 Q1004 NOSIG=
VABB,082330Z,28008KT 2500 BR SCT018 FEW025TCU BKN090 28/27 Q1005 NOSIG=
VABB,090000Z,27010KT 2500 BR SCT018 FEW025TCU BKN090 28/27 Q1005 NOSIG=
VABB,090030Z,28008KT 2500 BR SCT018 FEW025TCU BKN090 28/27 Q1005 NOSIG=
VABB,090100Z,28010KT 2500 BR SCT018 FEW025TCU BKN090 28/27 Q1005 NOSIG=
VABB,090130Z,28010KT 2500 HZ SCT018 FEW025TCU BKN090 28/26 Q1006 NOSIG=
VABB,090200Z,28008KT 2500 HZ SCT018 FEW025TCU BKN090 29/26 Q1006 NOSIG=
VABB,090230Z,30009KT 2500 HZ SCT018 FEW025TCU BKN090 29/27 Q1007 NOSIG=
VABB,090300Z,32006KT 2500 HZ SCT018 FEW025TCU BKN090 30/27 Q1007 NOSIG=
VABB,090330Z,29009KT 2500 HZ SCT018 FEW025TCU BKN090 30/27 Q1007 NOSIG=
VABB,090400Z,28009KT 2500 HZ SCT020 FEW025TCU BKN090 30/27 Q1007 BECMG 3000 HZ=
VABB,090430Z,29008KT 3000 HZ SCT020 SCT025 BKN090 30/27 Q1007 NOSIG=
VABB,090500Z,28011KT 3000 -RA SCT018 SCT025 BKN090 30/28 Q1007 TEMPO 1500 SHRA=
VABB,090530Z,28008KT 3000 -RA SCT018 SCT025 BKN090 29/27 Q1007 TEMPO 1500 SHRA=
VABB,090600Z,27007G17KT 3000 HZ SCT018 SCT025 BKN090 29/28 Q1007 NOSIG=
VABB,090630Z,28007G17KT 3000 HZ SCT018 SCT025 BKN090 30/28 Q1007 NOSIG=
VABB,090700Z,29011KT 3000 VCSH SCT018 SCT025 BKN090 30/27 Q1006 TEMPO 1500 SHRA=
VABB,090730Z,31007KT 2500 VCSH SCT018 FEW025TCU BKN090 28/27 Q1006 TEMPO 1500 SHRA=
VABB,090800Z,35008KT 2500 BR SCT018 FEW025TCU BKN090 28/27 Q1006 NOSIG=
VABB,090830Z,30005KT 2500 BR SCT018 FEW025TCU BKN090 29/28 Q1005 NOSIG=
VABB,090900Z,27011KT 2500 HZ SCT018 FEW025TCU BKN090 30/28 Q1005 NOSIG=
VABB,090930Z,29008KT 3000 HZ SCT018 FEW025TCU BKN090 29/27 Q1005 NOSIG=
VABB,091000Z,28011KT 3500 HZ SCT018 SCT025 BKN090 30/27 Q1005 NOSIG=
VABB,091030Z,27011KT 3000 HZ SCT018 SCT025 BKN090 30/27 Q1005 NOSIG=
VABB,091100Z,32009KT 3000 HZ SCT018 SCT025 BKN090 30/27 Q1005 NOSIG=
VABB,091130Z,28010KT 3000 HZ SCT018 SCT025 BKN090 30/27 Q1005 NOSIG=
VABB,091200Z,32008KT 3000 HZ SCT018 SCT025 BKN090 30/27 Q1005 NOSIG=
VABB,091230Z,31010KT 3000 VCSH SCT015 SCT025 BKN100 29/29 Q1005 NOSIG=
VABB,091300Z,28009KT 3000 HZ SCT015 SCT025 BKN100 29/29 Q1005 NOSIG=
VABB,091330Z,30006KT 3000 HZ SCT015 SCT025 BKN100 29/29 Q1005 NOSIG=
VABB,091400Z,29006KT 3000 HZ SCT018 SCT025 BKN100 29/27 Q1005 NOSIG=
VABB,091430Z,30007KT 3000 HZ SCT018 SCT025 BKN100 29/27 Q1006 NOSIG=
VABB,091500Z,30007KT 3000 HZ SCT018 SCT025 BKN100 29/27 Q1006 NOSIG=
VABB,091530Z,27007KT 3000 HZ SCT018 SCT025 BKN100 29/27 Q1006 NOSIG=
VABB,091600Z,28007KT 3000 HZ SCT018 SCT025 BKN100 29/27 Q1006 NOSIG=
VABB,091630Z,28007KT 3000 HZ SCT018 SCT025 BKN100 29/27 Q1006 NOSIG=
VABB,091700Z,28006KT 3000 HZ SCT018 SCT025 BKN100 29/27 Q1007 NOSIG=
VABB,091730Z,30005KT 3000 HZ SCT018 SCT025 BKN100 29/27 Q1006 NOSIG=
VABB,091800Z,26007KT 3000 HZ SCT018 SCT025 BKN100 29/27 Q1007 NOSIG=
VABB,091830Z,27007KT 3000 HZ SCT018 SCT025 BKN100 28/27 Q1006 NOSIG=
VABB,091900Z,27008KT 3000 HZ SCT018 SCT025 BKN100 28/27 Q1006 NOSIG=
